title,date
"Minnesota gubernatorial election, 1966",1966-11-08
"2008 Copa del Rey Final",2008-04-16
"Battle of Dover Strait (1917)",1917-04-21
"Tactical development on the Western Front in 1917",1914-08-04
"Egyptian parliamentary election, 2010",2010-11-29
"Halabja chemical attack",1988-03-16
"Nawabganj, Barabanki  Battle of Nawabganj  1",1857-06-14
"1992 FA Charity Shield",1992-08-08
"Battles of Narvik",1940-06-08
"1872 Cavite mutiny",1872-01-20
"United Nations Operation in Somalia II",1995-03-28
"14th Moscow International Film Festival",1985-07-12
"1966 Bulgarian Cup Final",1966-09-10
"1991 European Cup Final",1991-05-29
"Battle of Bayou Fourche",1863-09-10
"FIS Ski Jumping Grand Prix",2012-08-15
"Democratic Party (HK) leadership election, 1998",1998-12-13
"United States presidential election in Indiana, 1824",1824-12-02
"South Australian state election, 2018",2018-03-17
"Battle of New Ross (1643)",1643-03-18
"Battle of Alamana",1821-04-22
"Action of 4 August 1800",1800-08-04
"Indiana gubernatorial election, 2000",2000-11-07
"Brazilian presidential election, 1955",1955-10-03
"Battle of Long Dinh",1964-02-26
"Battle of Giornico",1478-12-28
"Philippine House of Representatives elections in CALABARZON, 2010",2010-05-10
"United States presidential election in Oregon, 2012",2012-11-06
"Massachusetts gubernatorial election, 1960",1960-11-08
"Sin Salida (2010)",2010-06-06
"Stockport Metropolitan Borough Council election, 2012",2012-05-03
"Action of 31 May 1762",1762-05-31
"1990 FIFA World Cup Final",1990-07-08
"Battle of Changzhou",1864-05-11
"Ukrainian local elections, 2006",2006-03-26
"United States Senate election in Washington, 2016",2016-11-08
"Battle of Mühldorf",1322-09-28
"Missouri secretary of state election, 2012",2012-11-06
"2013 Algerian Super Cup",2014-01-11
"EMLL 24th Anniversary Show",1957-09-20
"1979 Herat uprising",1979-03-20
"Chilean presidential election, 1920",1920-06-25
"2010 Queen's Cup Final",2010-02-18
"2010 Scottish Challenge Cup Final",2011-04-10
"Battle of Gallabat",1889-03-10
"Vũng Rô Bay Incident",1965-02-16
"Operation Desert Scorpion (Iraq 2003)",2003-06-15
"German federal election, July 1932",1932-07-31
"Battle of Carberry Hill",1567-06-15
"Juicio Final (2000)",2000-03-17
"Philippine Senate election, 1992",1992-05-11
"Battle of Jena–Auerstedt",1806-10-14
"Operation Shed Light",1966-02-07
"South African general election, 1948",1948-05-26
"Battle for Castle Itter",1945-05-05
"1992 Full Members Cup Final",1992-03-29
"Malian parliamentary election, 2007",2007-07-22
"2013 All-Ireland Senior Camogie Championship Final",2013-09-15
"1991 FA Charity Shield",1991-08-10
"Siege of Ypres (1794)",1794-06-18
"Canadian federal election, 2006",2006-01-23
"Coup of 18 Fructidor",1797-09-04
"Battle of Luçon",1793-08-14
"Belgian general election, 1878",1878-06-11
"World War II in Yugoslav Macedonia",1941-10-11
"Battle of Amberg",1796-08-24
"Battle of Jiksan",1597-09-07
"Siege of Lille (1792)",1792-10-08
"UFC Fight Night: Henderson vs. Khabilov",2014-06-07
"Battle of Pont-Barré",1793-09-20
"New Zealand general election, 1993",1993-11-06
"1978 FIFA World Cup Final",1978-06-25
"Battle of La Prairie",1691-08-11
"Portuguese legislative election, 1961",1961-11-12
"Quebec general election, 2012",2012-09-04
"Battle of the Black River",1782-08-23
"Against All Odds (2009)",2009-02-08
"United States presidential election in Pennsylvania, 1928",1928-11-06
"Lanzhou Campaign",1949-08-09
"Battle of South Shanxi",1941-05-27
"Defence of Kamalpur",1971-12-04
"Second Battle of Benghazi",2011-03-20
"North Carolina gubernatorial election, 2012",2012-11-06
"Invercargill by-election, 1930",1930-08-13
"South Dakota gubernatorial election, 1902",1902-11-04
"War in the North",1937-10-21
"Battle of Lostwithiel",1644-09-02
"2010 Baja California earthquake",2010-04-04
"United States presidential election in Idaho, 2004",2004-11-02
"Pahiatua by-election, 1904",1904-07-28
"Battle of Aden Airport",2015-03-19
"1985 Wuqia earthquake",1985-08-23
"Battles of Lexington and Concord",1775-04-19
"Battle of Guanzhong (1946–47)",1946-12-31
"Operation Janbaz",2009-10-11
"Battle of Kalamata",1821-03-22
"Canarian parliamentary election, 1987",1987-06-10
"Louisiana gubernatorial election (Union), 1864",1864-02-22
"Battle of Benavente",1808-12-29
"Battle of Cheongju",1593-09-06
"Battle of Vaughan Road",1864-10-01
"2013 Indonesia Super League All-Star Game",2013-09-21
"1923 FA Charity Shield",1923-10-08
"Battle of Mount Song",1944-06-04
"Chickasaw Campaign of 1736",1736-05-26
"Queensland state election, 1912",1912-04-27
"United States presidential election in New Hampshire, 1948",1948-11-02
"Queensland state election, 1992",1992-09-19
"Albuquerque mayoral election, 2005",2005-10-04
"Jersey Battle of Flowers",1902-08-09
"United States Senate election in New York, 1970",1970-11-02
"Siege of Algeciras (1278)",1278-08-05
"1997 UEFA Cup Winners' Cup Final",1997-05-14
"Polish legislative election, 1922",1922-11-12
"Manitoba general election, 1995",1995-04-25
"Battle of Agounennda",1957-05-25
"Sudanese general election, 2000",2000-12-23
"Battle of Épehy",1918-09-18
"1930 Pyu earthquake",1930-12-04
"Indonesian legislative election, 2009",2009-04-09
"Battle of Friedberg",1796-08-24
"Philippine Senate election, 1951",1951-11-13
"Italian general election, 1904",1904-11-13
"Sammarinese general election, 1923",1923-03-04
"Operation Desert Thunder",1998-11-11
"Malian parliamentary election, 2013",2013-12-15
"Battle of Lake Poyang",1363-10-04
"Landings on Rendova",1943-06-30
"2010 Celtic League Grand Final",2010-05-29
"Portuguese legislative election, 1973",1973-10-28
"Iraq War",2003-03-20
"Greco-Turkish War (1897)",1897-05-08
"Egyptian parliamentary election, 1979",1979-06-14
"1968 Scottish Cup Final",1968-04-27
"European Parliament election, 2009 (Romania)",2009-06-07
"United States presidential election in New Jersey, 1980",1980-11-04
"1905 Copa del Rey Final",1905-04-18
"1995 FA Charity Shield",1995-08-13
"Alberta general election, 1982",1982-11-02
