title,date
"Italian general election, 2006",2006-04-10
"Battle of Grochowiska",1863-03-18
"Battle of Leghorn",1653-03-04
"Queensland state election, 2006",2006-09-09
"1893 All-Ireland Senior Hurling Championship Final",1894-06-24
"United States Senate election in Florida, 1998",1998-11-03
"Louisiana gubernatorial election, 1884",1884-04-22
"Nova Scotia general election, 2003",2003-08-05
"Bombardment of Genoa",1684-05-28
"United States presidential election in Virginia, 1896",1896-11-03
"Operation Chastise",1943-05-17
"Battle of Talavera de la Reina (1936)",1936-09-03
"1955 German football championship",1955-06-26
"Saskatchewan general election, 1956",1956-06-20
"Los Angeles mayoral election, 1993",1993-06-08
"2012 Malian coup d'état",2012-03-21
"1942 Taça de Portugal Final",1942-07-12
"Liberation of Serbia, Albania and Montenegro (1918)",1918-11-13
"Madras Legislative Assembly election, 1952",1952-03-27
"Nebraska gubernatorial election, 2014",2014-11-04
"Samarrah Offensive",1917-04-23
"Operation Ochsenkopf",1943-03-04
"Philippine House of Representatives elections, 2001",2001-05-14
"1879 Gansu earthquake",1879-07-01
"Madrid City Council election, 1995",1995-05-28
"2nd Moscow International Film Festival",1961-07-23
"Hong Kong sanitary board election, 1920",1920-04-12
"WrestleWar (1990)",1990-02-25
"Maldivian presidential election, 2013",2013-11-16
"2008 Svenska Supercupen",2008-03-22
"Fianna Fáil leadership election, 2011",2011-01-26
"United States Senate election in Iowa, 1980",1980-11-03
"Battle of Jengland",0851-08-22
"2005 Nicky Rackard Cup Final",2005-08-21
"1959 Hebgen Lake earthquake",1959-08-17
"Double Tables",1995-02-04
"United Kingdom general election, 1997 (Edinburgh)",1997-05-01
"Hamilton, Ontario, municipal election, 2003",2003-11-13
"Bellator MMA in 2015  Bellator 146: Kato vs. Manhoef  1",2015-11-20
"Battle of Dove Creek",1895-01-16
"United States Senate election in Pennsylvania, 1970",1970-11-03
"British Columbia general election, 1979",1979-05-10
"Siege of Oviedo",1936-10-16
"2007 Chūetsu offshore earthquake",2007-07-16
"United States presidential election in North Dakota, 2016",2016-11-08
"Battle of Wenden (1601)",1601-01-07
"Battle of Topáter",1879-03-23
"Arizona gubernatorial election, 1922",1922-11-07
"Upton train ambush",1921-02-15
"2005 West of Scotland Cup Final",2005-05-14
"Louisiana gubernatorial election, 1971–72",1972-02-01
"Battle of Martinique (1779)",1779-12-18
"Oregon gubernatorial election, 1994",1994-11-03
"United States presidential election in Pennsylvania, 2004",2004-11-02
"Ternopil Oblast local election, 2009",2009-03-15
"Riga City Council election, 2013",2013-06-01
"1926 Campeonato de Portugal Final",1926-06-06
"Kivu conflict",2015-01-31
"Lüliang Campaign",1946-11-22
"United States Senate election in Oklahoma, 1986",1986-11-03
"1976 All-Ireland Senior Football Championship Final",1976-09-26
"Battle of Zahleh",1980-12-22
"United States Senate election in Ohio, 1988",1988-11-08
"Democratic Party (HK) leadership election, 2004",2004-12-17
"Danish general election, 1987",1987-09-08
"United States presidential election in Alabama, 1988",1988-11-08
"Northwestern Syria offensive (April–June 2015)",2015-06-14
"Battle of Pentemili beachhead",1974-07-22
"United States House of Representatives election in Delaware, 1792",1792-10-02
"Battle of Rio de Janeiro (1567)",1567-01-20
"Pursuit of Goeben and Breslau",1914-08-10
"Hamilton, Ontario, municipal election, 1934",1934-12-03
"1997 All-Ireland Senior Camogie Championship Final",1997-09-08
"Avalon Peninsula Campaign",1696-11-10
"17th Busan International Film Festival",2012-10-13
"United States Senate election in New York, 1998",1998-11-03
"2006 Supertaça Cândido de Oliveira",2006-08-19
"Operation Ichi-Go",1944-12-31
"Battle of Uttismalm",1789-06-28
"Bay of Islands by-election, 1915",1915-06-08
"Battle of Monett's Ferry",1864-04-23
"Battle of Chiari",1701-09-01
"Operation Jayasikurui",1997-05-13
"Pennsylvania gubernatorial election, 1990",1990-11-06
"1992 Scottish Challenge Cup Final",1992-12-13
"1867 Manhattan, Kansas earthquake",1867-04-24
"Battle of the Thames",1813-10-05
"United States presidential election in Kansas, 1984",1984-11-06
"United States gubernatorial elections, 1978",1978-11-07
"Homenaje a Dos Leyendas (2016)",2016-03-18
"California Attorney General election, 2002",2002-11-05
"Battle of Arlon (1793)",1793-06-09
"Irish general election, 1943",1943-06-23
"Los Angeles mayoral election, 1896",1896-12-07
"2016 Sundance Film Festival",2016-01-31
"Battle of Bull's Ferry",1780-07-21
"United States House of Representatives elections, 1844",1844-07-01
"Battle of Ferozeshah",1845-12-22
"1927 Campeonato de Portugal Final",1927-06-12
"California Insurance Commissioner election, 2010",2010-11-02
"1994 European Cup Winners' Cup Final",1994-05-04
"Final Resolution (2012)",2012-12-09
"1952 FA Cup Final",1952-05-03
"Battle of Beaumont",1870-08-30
"Powder Alarm",1774-09-01
"Houston mayoral election, 2015",2015-12-12
"Burmese general election, 1947",1947-04-09
"United States Senate election in Iowa, 1984",1984-11-05
"Battle of Kampinos Forest",1939-09-20
"United States House of Representatives election in Delaware, 2008",2008-11-04
"Battle of Sabana Larga",1856-01-24
"Guerra Revolucionaria (2015)",2015-05-17
"August 2009 Sumatra earthquake",2009-08-16
"Australian Capital Territory general election, 2001",2001-10-20
"Japanese invasion of Legaspi",1941-12-12
"Action of 27 February 1809",1809-02-27
"Australian Labor Party leadership spill, 2010",2010-06-24
"Quezon City local elections, 2010",2010-05-10
"Operation Medina",1967-10-20
"World Series of Fighting 19: Gaethje vs. Palomino",2015-03-28
"1969 Cupa României Final",1969-06-22
"Malayan general election, 1959",1959-08-19
"California gubernatorial election, 1962",1962-11-06
"Battle of Ye",0204-09-13
"South Australian state election, 1993",1993-12-11
"1887 FA Cup Final",1887-04-02
"Kumanovo Uprising",1878-05-20
"Battle of Sattelberg",1943-11-25
"Philippine Senate election, 1953",1953-11-10
"Texas gubernatorial election, 2014",2014-11-04
"Philippine House of Representatives elections, 1995",1995-05-08
"Alberta general election, 1975",1975-03-26
"Tasmanian state election, 1998",1998-08-29
"2011 Coppa Italia Final",2011-05-29
"European Parliament election, 2009 (Finland)",2009-06-07
"Huesca Offensive",0019-06-12
"Glasgow North East by-election, 2009",2009-11-12
"Croat–Bosniak War",1994-02-23
"Battle of Roncevaux Pass",0778-08-15
"United States presidential election in Pennsylvania, 1908",1908-11-03
"1902 Andijan earthquake",1902-12-16
"K-1 World MAX 2014 World Championship Tournament Final",2014-10-11
"Battle of Voronezh (1942)",1942-07-24
"Australian federal election, 1963",1963-11-30
"Battle of An Lộc",1972-04-13
"Basra governorate election, 2009",2009-01-31
"Action off Lerwick",1917-10-17
"Action of 6 October 1779",1779-10-06
"Operation Able Warrior",2005-08-04
"UFC Fight Night: Shogun vs. Sonnen",2013-08-17
"Laguna local elections, 2016",2016-05-09
"Delaware State Fair",2013-07-18
"Battle of Jeddah (1925)",1925-12-17
"1989 Cannes Film Festival",1989-05-11
"New Jersey gubernatorial election, 1910",1910-11-08
"Dorset County Council election, 1977",1977-05-05
"Battle of Placilla",1891-08-28
"Fight on Šuplji Kamen",1904-05-27
"American-led intervention in Syria",2014-09-22
"Short Hills raid",1838-06-21
"United States presidential election in Montana, 1944",1944-11-07
"EMLL 7th Anniversary Show",1940-09-12
"Hunter Valley Steamfest",2015-04-19
"Swedish general election, 1952",1952-09-21
"2002 Chinese Football Super Cup",2003-02-06
"Battle of Kosovo (1448)",1448-10-20
"1955 All-Ireland Senior Hurling Championship Final",1955-09-04
"1981 Cupa României Final",1981-06-24
"1994 Belgian Cup Final",1994-05-22
"Battle on Snowshoes",1758-03-23
"Zimbabwean parliamentary election, 1985",1985-07-02
"Bonus Army",1932-07-28
"First Māori elections",1868-05-06
"United States House of Representatives elections, 1898",1898-11-08
"Belgian general election, 1861",1861-06-11
"1983 Erzurum earthquake",1983-10-30
"Battle of the Puig",1237-08-15
"United States Senate election in Vermont, 1956",1956-11-06
"UFC 20",1999-05-07
"1959 Cannes Film Festival",1959-04-30
"Battle of Elephant Point",1945-05-01
"Naxalite–Maoist insurgency",1967-05-18
"Operation Hurry",1940-08-04
"Battle of Camas Creek",1877-08-20
"Vermont gubernatorial election, 1950",1950-11-07
"Medway Council election, 2011",2011-05-05
"King of Europe Cup",2007-04-29
"2007 Copa América Final",2007-07-15
"Battle of Zanzibar",1914-09-20
"Western Australian state election, 1911",1911-10-03
"South Tipperary County Council election, 1991",1991-06-27
"SummerSlam (1996)",1996-08-18
"United States presidential election, 2020",2020-11-03
"Battle of Santiago (1962 FIFA World Cup)",1962-06-02
"Capture of Fort Ticonderoga",1775-05-10
"Sammarinese general election, 1915",1915-06-13
"City of Dundee Council election, 1995",1995-04-06
"Battle of Raseiniai",1941-06-23
"Battle of Cape St. Vincent (1833)",1833-07-05
"United Kingdom general election, 1945",1945-07-05
"Oregon gubernatorial election, 2002",2002-11-05
"United States House of Representatives elections in California, 1882",1882-11-07
"Spanish general election, 1899",1899-04-16
"Rey de Reyes (2013)",2013-03-17
"War of the Camps",1985-05-19
"Alberta general election, 1944",1944-08-08
"Malian presidential election, 2013",2013-08-11
"Tamil Nadu Legislative Assembly election, 1980",1980-05-28
"Battle of the Catalina River",1784-03-21
"Raglan by-election, 1927",1927-09-30
"United States Senate election in West Virginia, 1982",1982-11-07
"Battle of Zliten",2011-08-19
"Battle of 73 Easting",1991-02-27
"Action of 24 March 1811",1811-03-25
"2010 All-Ireland Senior Camogie Championship Final",2010-09-12
"Battle of Winchelsea",1350-08-29
"United States presidential election in New Mexico, 2012",2012-11-06
"Battle of Rusion",1206-01-31
"1998 FA Cup Final",1998-05-16
"United States Senate election in Hawaii, 1982",1982-11-02
"Arizona Democratic primary, 2008",2008-02-05
"UFC 88",2008-09-06
"Bellator Fighting Championships: Season Four  Bellator 36  1",2011-03-12
"1960 South Vietnamese coup attempt",1960-11-11
"Battle of Grozny (November 1994)",1994-11-27
"Danish Folketing election, September 1920",1920-09-21
"Pride 25",2003-03-16
"United States Senate elections, 1938",1938-11-08
"Battle of Bogdat",1919-10-19
"Capture of HMS Cyane and HMS Levant",1815-02-20
"K-1 World Grand Prix 2010 Final",2010-12-11
"Battle of Køge Bay (1710)",1710-09-24
"Bash at the Beach",2000-07-09
"Battle of Makin",1943-11-23
"2012 Suruga Bank Championship",2012-08-01
"June-August 2012 Hakkari clashes",2012-06-19
"Battle of Wimpfen",1622-05-06
"Battle of Heilsberg",1807-06-10
"First Balkan War",1912-10-08
"Arena Naucalpan 34th Anniversary Show",2011-12-22
"United States Senate election in Washington, 2000",2000-11-07
"German federal election, November 1932",1932-11-06
"UFC 139",2011-11-19
"Battle of Yiwu",1950-03-29
"Bukidnon local elections, 2013",2013-05-13
"2014 MLL All-Star Game",2014-06-26
"California's 10th congressional district special election, 2009",2009-11-03
"Battle of Caen (1346)",1346-07-26
"Prince Edward Island general election, 1955",1955-05-25
"Siege of UK bases in Basra",2007-09-03
"United States Senate elections, 1956",1956-11-06
"Battle of Montcornet",1940-05-17
"Grozny OMON fratricide incident",2000-03-02
"Australian federal election, 1972",1972-12-02
"Ninawa governorate election, 2013",2013-06-20
"Luxembourg general election, 1994",1994-06-12
"Capture of Malacca (1511)",1511-08-15
"2014 All-Ireland Senior Football Championship Final",2014-09-21
"Ohio Republican primary, 2008",2008-03-04
"International Science Youth Forum @ Singapore",2009-01-19
"Operation Roast",1945-04-02
"2016 Japanese Super Cup",2016-02-20
"1959 Scottish League Cup Final",1959-10-24
"Mississippi gubernatorial election, 2007",2007-11-06
"2001 Ms. Olympia",2001-10-26
"Thai general election, March 1992",1992-03-22
"1965 Olympia earthquake",1965-04-29
"Battle of Salga",1581-07-25
"Spanish Civil War",1939-04-01
"Operation Northern Delay",2003-03-26
"Tajikistani Civil War",1992-05-05
"Battle of the Solent",1545-07-19
"Los Angeles mayoral election, 1969",1969-05-27
"2014 Algerian Super Cup",2014-08-09
"Oregon gubernatorial election, 2010",2010-11-02
"Battle of Verdun (1792)",1792-09-02
"Capture of Erivan",1827-10-01
"Montana gubernatorial election, 1988",1988-11-08
"Battle of al-Hasakah (June–August 2015)",2015-08-01
"2006 Hengchun earthquakes",2006-12-26
"United States presidential election in Virginia, 2000",2000-11-07
"Democratic vice presidential nomination of 1944",1944-07-21
"2004 Bulgarian Supercup",2004-07-31
"Battle of Lacolle (1838)",1838-11-07
"Siege of Tortosa (1810)",1811-01-02
"Battle of Novo Litovoskaya",1919-08-07
"United States House of Representatives elections, 1892",1892-11-08
"Battle of Gerontas",1824-08-29
"Battle of the Cigno Convoy",1943-04-16
"Norwegian parliamentary election, 2005",2005-09-12
"Sai Kung District Council election, 2011",2011-11-06
"Operation Dewey Canyon",1969-03-18
"United States presidential election in Illinois, 2000",2000-11-07
"Battle of Ghaghra",1529-05-06
"1st Berlin International Film Festival",1951-06-17
"Battle of Samarra (1733)",1733-07-19
"Blockade of Wonsan",1951-02-16
"Guinean Territorial Assembly election, 1957",1957-03-31
"How Few Remain  Second Mexican War  1",1881-06-25
"United States Senate election in Utah, 1976",1976-11-02
"Juicio Final (2005)",2005-12-02
"Operativo Independencia",1975-02-05
"North Korean cargo ship seizure in Panama",2013-07-15
"Stockholm municipal election, 2010",2010-09-30
"British Columbia general election, 2001",2001-05-16
"Capture of Mexicali",1911-01-29
"Battle of Focchies",1649-05-12
"Yonekura Shigetsugu",1575-06-28
"Wham Paymaster Robbery",1889-05-11
"2009 Samoa earthquake and tsunami",2009-09-29
"Battle of Olshanitsa",1527-01-27
"New York City mayoral election, 1985",1985-11-05
"Operation Goodwood",1944-07-20
"1980 European Cup Final",1980-05-28
"Paraguay expedition",1858-10-17
"45th World Science Fiction Convention",1987-09-01
"Battle of Geyve",1920-05-17
"London County Council election, 1922",1922-03-02
"2014 Japanese Super Cup",2014-02-22
"Operation Texas Star",1970-09-05
"Haitian general election, 2010–11",2011-03-20
"United States presidential election in Georgia, 1964",1964-11-03
"Sanna's Post",1900-03-31
"Battle of Huesca",1837-03-24
"2013 Bulgarian Cup Final",2013-05-15
"Bellator Fighting Championships: 2012 Summer Series  Bellator 71  1",2012-06-22
"Battle of Fontenoy",1745-05-11
"Battle at Borodino Field",1942-01-18
"2010 WPS All-Star Game",2010-06-30
"Battle of Krasnokutsk–Gorodnoye",1709-02-20
"1977 FA Charity Shield",1977-08-13
"Action of April 17, 1837",1837-04-17
"2008 Korean FA Cup Final",2008-12-21
"Battle of Tarpellanca",1820-09-26
"Hawaii gubernatorial election, 1966",1966-11-08
"1960 Valdivia earthquake",1960-05-22
"Hamilton, Ontario, municipal election, 1994",1994-11-14
"1994 Albanian Supercup",1995-01-08
"Colorado Democratic caucuses, 2008",2008-02-05
"Battle of Kramatorsk",2014-07-05
"Shah Wali Kot Offensive",2010-06-14
"1982 All-Ireland Senior Camogie Championship Final",1982-09-26
"Bavarian state election, 2013",2013-09-15
"Bolivian general election, 2009",2009-12-06
"1979 FA Cup Final",1979-05-12
"United States Senate election in Connecticut, 2012",2012-11-06
"Invasion of the Cape Colony (1795)",1795-09-15
"1973 DFB-Pokal Final",1973-06-23
"Landing at Jacquinot Bay",1944-11-04
"2002 MLS All-Star Game",2002-08-03
"Minnesota Senate election, 2006",2006-11-07
"1992 Ms. Olympia",1992-10-17
"2010 Uzbekistan Cup Final",2010-08-18
"Hong Kong sanitary board election, November 1932",1932-11-17
"Skirmish at Albany, Missouri",1864-10-26
"Battle of Zvolen (1703)",1703-11-15
"1997 CAF Super Cup",1997-02-14
"Pennsylvania gubernatorial election, 1857",1857-11-03
"2010 All-Ireland Senior Club Hurling Championship Final",2010-03-17
"1994 FIFA World Cup Final",1994-07-17
"Lyttelton by-election, 1935",1935-07-24
"Ethiopian presidential election, 2013",2013-10-07
"Sammarinese general election, 1932",1932-08-28
"United States presidential election in North Carolina, 2008",2008-11-04
